G,W,ORB,FTR,2P_O,3P_O,P_V
36,19,29.8,42.6,45.4,30.7,0.5277777777777778
30,20,26.2,40.3,46.0,36.7,0.6666666666666666
36,21,29.6,36.8,46.2,33.6,0.5833333333333334
33,19,30.7,40.7,52.1,38.5,0.5757575757575758
32,20,28.0,39.6,51.1,32.6,0.625
33,23,26.9,32.5,50.1,33.0,0.696969696969697
32,20,29.2,39.7,51.1,38.1,0.625
33,20,26.4,38.1,49.1,37.1,0.6060606060606061
34,21,21.8,29.5,50.7,35.8,0.6176470588235294
33,19,30.9,47.4,48.8,33.6,0.5757575757575758
31,25,31.6,34.2,52.7,32.7,0.8064516129032258
32,19,32.9,30.3,51.3,32.3,0.59375
31,18,34.8,33.5,51.3,31.5,0.5806451612903226
32,23,27.8,32.4,49.6,38.9,0.71875
32,17,28.4,33.3,49.5,36.4,0.53125
34,18,29.4,38.7,52.3,34.6,0.5294117647058824
32,20,28.0,41.3,53.2,36.4,0.625
33,21,28.5,35.5,51.4,38.1,0.6363636363636364
33,19,27.2,39.8,50.1,38.2,0.5757575757575758
29,20,36.1,42.8,51.6,30.7,0.6896551724137931
32,19,28.1,38.1,47.6,33.8,0.59375
34,22,29.7,43.1,49.2,32.4,0.6470588235294118
33,23,33.4,42.5,50.2,39.0,0.696969696969697
33,20,37.6,45.3,50.6,35.0,0.6060606060606061
34,21,34.1,41.6,51.5,34.8,0.6176470588235294
33,16,27.8,36.7,50.2,35.5,0.48484848484848486
33,18,33.6,49.3,50.7,35.8,0.5454545454545454
34,28,36.5,41.4,49.2,37.7,0.8235294117647058
30,19,30.3,33.7,48.4,38.7,0.6333333333333333
34,20,35.2,45.6,53.1,38.0,0.5882352941176471
33,12,29.0,38.4,44.9,37.0,0.36363636363636365
38,26,40.0,35.2,50.9,35.8,0.6842105263157895
36,22,33.9,35.3,47.3,35.6,0.6111111111111112
36,25,33.2,40.6,51.0,38.5,0.6944444444444444
35,27,30.1,40.7,53.2,37.5,0.7714285714285715
35,25,27.2,33.5,51.6,36.6,0.7142857142857143
37,23,34.7,40.5,46.6,31.7,0.6216216216216216
37,29,32.8,35.8,50.9,33.2,0.7837837837837838
36,29,35.3,30.2,52.1,36.2,0.8055555555555556
35,26,29.6,31.9,52.9,39.4,0.7428571428571429
37,33,34.4,31.6,51.3,35.5,0.8918918918918919
35,27,37.2,33.9,56.1,41.6,0.7714285714285715
35,26,29.1,37.0,55.8,36.2,0.7428571428571429
35,22,33.1,38.0,46.6,34.9,0.6285714285714286
38,26,24.7,30.1,56.3,38.5,0.6842105263157895
35,27,30.8,33.3,52.7,40.3,0.7714285714285715
